group,query_count,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,mrr_at_10,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_mrr_at_10
accountability,1,0.0000000000,0.0000000000,1.0000000000,0.5000000000,1.0000000000,0.2500000000,0.0000000000,1.0000000000,1.0000000000,0.5000000000
actor_obligation,5,0.2000000000,0.4000000000,0.8000000000,0.3333333333,0.4238095238,0.4085714286,0.2000000000,0.8000000000,1.0000000000,0.5400000000
authority,2,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.4166666667,0.5000000000,1.0000000000,1.0000000000,0.7500000000
classification,1,1.0000000000,1.0000000000,1.0000000000,0.6666666667,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
condition,3,1.0000000000,1.0000000000,1.0000000000,0.8333333333,0.9166666667,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
data_governance,3,0.3333333333,0.6666666667,1.0000000000,0.6111111111,0.7222222222,0.5833333333,0.6666666667,1.0000000000,1.0000000000,0.8333333333
definition,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
ethics,1,0.0000000000,1.0000000000,1.0000000000,0.2500000000,0.2500000000,0.3333333333,0.0000000000,1.0000000000,1.0000000000,0.5000000000
human_oversight,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
incident,1,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.5000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
procedure,5,1.0000000000,1.0000000000,1.0000000000,0.7133333333,0.9600000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
prohibition,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
public_sector,2,0.0000000000,0.5000000000,1.0000000000,0.2678571429,0.6071428571,0.3500000000,0.0000000000,1.0000000000,1.0000000000,0.5000000000
rights_risk,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
sandbox,2,0.5000000000,0.5000000000,0.5000000000,0.3000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000
transparency,1,0.0000000000,0.0000000000,1.0000000000,0.2222222222,0.4444444444,0.2500000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
