group,query_count,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,mrr_at_10,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_mrr_at_10
accountability,1,0.0000000000,1.0000000000,1.0000000000,0.5000000000,0.5000000000,0.5000000000,0.0000000000,1.0000000000,1.0000000000,0.5000000000
actor_obligation,5,0.4000000000,0.4000000000,1.0000000000,0.2952380952,0.3952380952,0.5500000000,0.8000000000,1.0000000000,1.0000000000,0.8666666667
authority,2,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
classification,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.1666666667,1.0000000000,1.0000000000,1.0000000000,1.0000000000
condition,3,0.6666666667,1.0000000000,1.0000000000,0.8333333333,0.8333333333,0.8333333333,0.6666666667,1.0000000000,1.0000000000,0.8333333333
data_governance,3,0.3333333333,0.6666666667,0.6666666667,0.5000000000,0.6111111111,0.5000000000,0.6666666667,1.0000000000,1.0000000000,0.8333333333
definition,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
ethics,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2500000000,0.1000000000,0.0000000000,1.0000000000,1.0000000000,0.3333333333
human_oversight,1,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.3333333333,0.0000000000,1.0000000000,1.0000000000,0.3333333333
incident,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.3333333333
procedure,5,0.4000000000,0.8000000000,1.0000000000,0.6633333333,0.8333333333,0.6400000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
prohibition,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
public_sector,2,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1428571429,0.0625000000,0.0000000000,1.0000000000,1.0000000000,0.5000000000
rights_risk,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
sandbox,2,0.0000000000,0.5000000000,0.5000000000,0.2000000000,0.4000000000,0.2500000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000
transparency,1,0.0000000000,0.0000000000,1.0000000000,0.1111111111,0.5555555556,0.2500000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
